time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qx,qy,qz,qw,roll_deg,pitch_deg,yaw_deg,mode,armed
0.000,0.0109,0.0006,-0.0125,0.0046,0.0037,-0.0217,0.017114,-0.001360,0.008757,-0.999814,-1.963,0.139,-1.006,AUTO.LOITER,0
0.031,0.0110,0.0005,-0.0127,0.0045,0.0034,-0.0215,0.017089,-0.001362,0.008660,-0.999816,-1.960,0.139,-0.995,AUTO.LOITER,0
0.096,0.0109,0.0003,-0.0126,0.0047,0.0033,-0.0217,0.017092,-0.001346,0.008681,-0.999815,-1.960,0.137,-0.997,AUTO.LOITER,0
0.130,0.0107,0.0002,-0.0125,0.0050,0.0030,-0.0216,0.017104,-0.001276,0.008686,-0.999815,-1.961,0.129,-0.998,AUTO.LOITER,0
0.197,0.0105,0.0001,-0.0127,0.0050,0.0032,-0.0211,0.017118,-0.001246,0.008651,-0.999815,-1.963,0.126,-0.994,AUTO.LOITER,0
0.233,0.0105,0.0000,-0.0129,0.0046,0.0035,-0.0208,0.017101,-0.001236,0.008611,-0.999816,-1.961,0.125,-0.989,AUTO.LOITER,0
0.304,0.0104,-0.0000,-0.0136,0.0044,0.0030,-0.0211,0.017110,-0.001230,0.008559,-0.999816,-1.962,0.124,-0.983,AUTO.LOITER,0
0.340,0.0104,-0.0000,-0.0142,0.0049,0.0035,-0.0213,0.017102,-0.001203,0.008536,-0.999817,-1.961,0.121,-0.980,AUTO.LOITER,0
0.404,0.0105,-0.0000,-0.0152,0.0058,0.0030,-0.0219,0.017091,-0.001191,0.008550,-0.999817,-1.960,0.120,-0.982,AUTO.LOITER,0
0.437,0.0106,-0.0000,-0.0157,0.0059,0.0029,-0.0217,0.017098,-0.001159,0.008543,-0.999817,-1.961,0.116,-0.981,AUTO.LOITER,0
0.502,0.0114,-0.0001,-0.0161,0.0077,0.0039,-0.0207,0.017086,-0.001163,0.008529,-0.999817,-1.959,0.117,-0.979,AUTO.LOITER,0
0.535,0.0122,-0.0001,-0.0160,0.0079,0.0035,-0.0202,0.017074,-0.001189,0.008557,-0.999817,-1.958,0.120,-0.983,AUTO.LOITER,0
0.598,0.0133,-0.0001,-0.0159,0.0084,0.0028,-0.0207,0.017058,-0.001177,0.008560,-0.999817,-1.956,0.118,-0.983,AUTO.LOITER,0
0.638,0.0139,-0.0002,-0.0160,0.0084,0.0027,-0.0205,0.017058,-0.001162,0.008583,-0.999817,-1.956,0.116,-0.986,AUTO.LOITER,0
0.670,0.0145,-0.0002,-0.0161,0.0092,0.0031,-0.0196,0.017083,-0.001194,0.008661,-0.999816,-1.959,0.120,-0.995,AUTO.LOITER,0
0.739,0.0157,-0.0002,-0.0163,0.0098,0.0023,-0.0199,0.017060,-0.001228,0.008690,-0.999816,-1.956,0.124,-0.998,AUTO.LOITER,0
0.803,0.0168,-0.0001,-0.0168,0.0102,0.0020,-0.0202,0.017057,-0.001217,0.008696,-0.999816,-1.956,0.122,-0.999,AUTO.LOITER,0
0.837,0.0173,-0.0002,-0.0171,0.0106,0.0014,-0.0206,0.017068,-0.001228,0.008685,-0.999816,-1.957,0.124,-0.998,AUTO.LOITER,0
0.899,0.0173,-0.0006,-0.0167,0.0103,0.0014,-0.0208,0.017051,-0.001212,0.008695,-0.999816,-1.955,0.122,-0.999,AUTO.LOITER,0
0.934,0.0168,-0.0011,-0.0159,0.0098,0.0012,-0.0211,0.017025,-0.001182,0.008729,-0.999816,-1.952,0.118,-1.002,AUTO.LOITER,0
0.996,0.0161,-0.0018,-0.0151,0.0090,0.0011,-0.0205,0.017011,-0.001102,0.008837,-0.999816,-1.950,0.109,-1.015,AUTO.LOITER,0
1.030,0.0159,-0.0021,-0.0149,0.0086,0.0010,-0.0207,0.016967,-0.001064,0.008882,-0.999816,-1.945,0.105,-1.020,AUTO.LOITER,0
1.095,0.0155,-0.0027,-0.0147,0.0087,0.0010,-0.0204,0.016947,-0.001051,0.008871,-0.999817,-1.943,0.103,-1.018,AUTO.LOITER,0
